,animal_id_outcome,outcome_type,age_upon_outcome_years,animal_type,breed,Mix,fotos,bins
1155,A563397,Euthanasia,11.0,Dog,beagle,False,https://dog.ceo/api/breed/Beagle/images/random,10-19
1382,A577780,Euthanasia,7.0,Dog,husky,True,https://dog.ceo/api/breed/Siberian Husky Mix/images/random,6-10
1433,A582002,Euthanasia,6.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd/Labrador Retriever/images/random,2-5
1733,A597665,Euthanasia,5.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,2-5
1882,A605772,Euthanasia,2.0,Dog,bulldog,True,https://dog.ceo/api/breed/American Bulldog Mix/images/random,0-1
2029,A610632,Euthanasia,6.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,2-5
2036,A610772,Euthanasia,4.0,Dog,chihuahua,True,https://dog.ceo/api/breed/Chihuahua Longhair/Pomeranian/images/random,2-5
2076,A612620,Euthanasia,7.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,6-10
2126,A614177,Euthanasia,2.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,0-1
2199,A616374,Euthanasia,4.0,Dog,husky,True,https://dog.ceo/api/breed/Alaskan Husky Mix/images/random,2-5
2211,A616487,Euthanasia,4.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,2-5
2391,A621845,Euthanasia,9.0,Dog,boxer,False,https://dog.ceo/api/breed/Boxer/images/random,6-10
2475,A624949,Euthanasia,3.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,2-5
2654,A631538,Euthanasia,2.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,0-1
2918,A639771,Euthanasia,11.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,10-19
3245,A647355,Euthanasia,7.0,Dog,boxer,False,https://dog.ceo/api/breed/Boxer/images/random,6-10
3373,A649704,Euthanasia,9.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,6-10
3591,A653125,Euthanasia,3.0,Dog,chihuahua,False,https://dog.ceo/api/breed/Chihuahua Shorthair/images/random,2-5
3640,A654355,Euthanasia,1.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,0-1
4162,A663488,Euthanasia,2.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,0-1
4234,A664234,Euthanasia,8.0,Dog,collie,True,https://dog.ceo/api/breed/Border Collie Mix/images/random,6-10
4665,A664824,Euthanasia,5.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,2-5
5611,A666166,Euthanasia,2.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,0-1
5685,A666272,Euthanasia,0.0821917808219178,Dog,chihuahua,True,https://dog.ceo/api/breed/Chihuahua Longhair Mix/images/random,0-1
5686,A666273,Euthanasia,2.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer/Pit Bull/images/random,0-1
5693,A666291,Euthanasia,7.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,6-10
5765,A666404,Euthanasia,16.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,10-19
6285,A667066,Euthanasia,12.0,Dog,chihuahua,False,https://dog.ceo/api/breed/Chihuahua Shorthair/images/random,10-19
6396,A667225,Euthanasia,9.0,Dog,husky,True,https://dog.ceo/api/breed/Siberian Husky Mix/images/random,6-10
6505,A667363,Euthanasia,2.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd/Labrador Retriever/images/random,0-1
6947,A668113,Euthanasia,9.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,6-10
7139,A668356,Euthanasia,3.0,Dog,collie,True,https://dog.ceo/api/breed/Border Collie Mix/images/random,2-5
7179,A668421,Euthanasia,2.0,Dog,bulldog,True,https://dog.ceo/api/breed/American Bulldog Mix/images/random,0-1
7221,A668497,Euthanasia,5.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer/Pit Bull/images/random,2-5
7325,A668631,Euthanasia,1.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,0-1
7326,A668632,Euthanasia,3.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd/Labrador Retriever/images/random,2-5
7876,A669461,Euthanasia,13.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer/Pit Bull/images/random,10-19
7957,A669561,Euthanasia,5.0,Dog,doberman,True,https://dog.ceo/api/breed/Doberman Pinsch Mix/images/random,2-5
8161,A669839,Euthanasia,4.0,Dog,collie,True,https://dog.ceo/api/breed/Border Collie Mix/images/random,2-5
8277,A669977,Euthanasia,1.0,Dog,bulldog,True,https://dog.ceo/api/breed/American Bulldog Mix/images/random,0-1
8491,A670308,Euthanasia,2.0,Dog,chihuahua,True,https://dog.ceo/api/breed/Chihuahua Longhair Mix/images/random,0-1
8624,A670518,Euthanasia,15.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,10-19
9312,A671439,Euthanasia,14.0,Dog,boxer,True,https://dog.ceo/api/breed/Boxer Mix/images/random,10-19
9384,A671541,Euthanasia,10.0,Dog,beagle,True,https://dog.ceo/api/breed/Beagle Mix/images/random,6-10
9561,A671877,Euthanasia,6.0,Dog,collie,True,https://dog.ceo/api/breed/Border Collie Mix/images/random,2-5
9574,A671913,Euthanasia,1.0,Dog,collie,True,https://dog.ceo/api/breed/Border Collie Mix/images/random,0-1
9620,A672007,Euthanasia,0.1643835616438356,Dog,husky,True,https://dog.ceo/api/breed/Siberian Husky Mix/images/random,0-1
10368,A673223,Euthanasia,10.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd/Labrador Retriever/images/random,6-10
10653,A673611,Euthanasia,2.0,Dog,germanshepherd,True,https://dog.ceo/api/breed/German Shepherd Mix/images/random,0-1
10763,A673771,Euthanasia,2.0,Dog,bulldog,True,https://dog.ceo/api/breed/American Bulldog Mix/images/random,0-1
