	price	start_lat	start_lon	end_lat	end_lon	end_state	distance	duration	rating	rider_waiting_time	vehicle_type_id
23	4,000	19.4218295677	-99.17444095020001	19.440310600000004	-99.1841465	drop off	2,516	783	8.0	856	077866c3fd1a75f51ca7f8eae166ae32
24	6,582	19.438666	-99.1808212	19.406133800000006	-99.17626640000002	drop off	4,849	1,682	10.0	1,011	077866c3fd1a75f51ca7f8eae166ae32
25	0	19.438666	-99.1808212	19.406133800000006	-99.17626640000002	rider cancel	0	0	10.0		077866c3fd1a75f51ca7f8eae166ae32
26	4,000	19.4412555859	-99.1835742071	19.4228147	-99.1748655	drop off	2,714	838	6.0	163	077866c3fd1a75f51ca7f8eae166ae32
27	5,438	19.4199617779	-99.17195521299999	19.441434215999998	-99.18350312860001	drop off	3,895	2,270	10.0	648	077866c3fd1a75f51ca7f8eae166ae32
28	0	19.4199617779	-99.17195521299999	19.441434215999998	-99.18350312860001	rider cancel	0	0	10.0		077866c3fd1a75f51ca7f8eae166ae32
29	0	19.441357705399998	-99.1827886552	19.4199617779	-99.17195521299999	rider cancel	0	0	10.0		077866c3fd1a75f51ca7f8eae166ae32
30	5,610	19.4414060764	-99.1841358808	19.4199617779	-99.17195521299999	drop off	6,751	3,660	10.0	925	077866c3fd1a75f51ca7f8eae166ae32
31	10,534	19.40612	-99.1762386	19.438666	-99.1808212	drop off	5,686	1,037	10.0	2,844	077866c3fd1a75f51ca7f8eae166ae32
32	4,000	19.4229543	-99.1749805	19.4230911	-99.1702686	drop off	701	746	6.0	1,171	21620ea5749f2e0679a8c72c7fbafb9e
33	5,738	19.438253	-99.1810615	19.4322669	-99.1546509	drop off	3,927	1,538	8.0	256	077866c3fd1a75f51ca7f8eae166ae32
34	4,000	19.427799800000006	-99.17011490000002	19.4322669	-99.1546509	drop off	1,754	851	9.0	328	077866c3fd1a75f51ca7f8eae166ae32
35	4,000	19.4219597	-99.1745591	19.438666	-99.1808212	drop off	3,275	935	10.0	909	21620ea5749f2e0679a8c72c7fbafb9e
36	4,908	19.4414106534	-99.184122626	19.4199617779	-99.17195521299999	drop off	3,793	2,177	10.0	365	21620ea5749f2e0679a8c72c7fbafb9e
37	0	19.441434215999998	-99.18350312860001	19.4199617779	-99.17195521299999	rider cancel	0	0	10.0		21620ea5749f2e0679a8c72c7fbafb9e
38	19,028	19.406953687799998	-99.175520204	19.421496	-99.077809	drop off	14,696	4,070	9.0	1,276	077866c3fd1a75f51ca7f8eae166ae32
39	0	19.4227491	-99.1749373	19.406537533199998	-99.16970986870001	rider cancel	0	0	10.0		21620ea5749f2e0679a8c72c7fbafb9e
40	29,421	19.3772193	-99.2545027	19.421496	-99.077809	drop off	21,346	6,070	9.0	2,239	21620ea5749f2e0679a8c72c7fbafb9e
41	4,000	19.42277	-99.174517	19.4200098	-99.1663115	drop off	1,315	294	8.0	984	21620ea5749f2e0679a8c72c7fbafb9e
