Case Number,Year,Type,Country,Fatal (Y/N),Incompletion
2015.01.30,2015,Boat,AUSTRALIA,N,3.0
2015.01.27,2015,Provoked,USA,N,2.25
2015.01.24,2015,Unprovoked,AUSTRALIA,N,5.0
2015.01.19.b,2015,Boat,USA,N,4.75
2015.01.19.a,2015,0,AUSTRALIA,N,4.5
2015.01.17,2015,Boat,AUSTRALIA,N,4.0
2015.01.16,2015,Unprovoked,AUSTRALIA,N,3.5
2015.01.08,2015,0,USA,N,3.5503003003003
2015.01.06,2015,Unprovoked,BAHAMAS,N,2.5
2015.01.03,2015,Unprovoked,SOUTH AFRICA,N,2.25
2015.01.01,2015,Unprovoked,USA,N,3.3003003003003
2014.12.29.b,2014,Unprovoked,AUSTRALIA,N,4.8003003003003
2014.12.29.a,2014,Unprovoked,AUSTRALIA,Y,2.8003003003003
2014.12.28.d,2014,Sea Disaster,GREECE,N,6.75
2014.12.28.c,2014,0,SOUTH AFRICA,N,5.3003003003003
2014.12.28.b,2014,Unprovoked,USA,N,2.5
2014.12.28.a,2014,Provoked,AUSTRALIA,N,3.0503003003003
2014.12.23.R,2014,Unprovoked,JAPAN,N,6.75
2014.12.15,2014,Unprovoked,AUSTRALIA,Y,3.0
2014.12.03.R,2014,Provoked,SPAIN,N,4.25
2014.11.29,2014,Unprovoked,AUSTRALIA,N,3.0
2014.11.20,2014,Provoked,MAURITIUS,Y,4.75
2014.11.19,2014,Boat,AUSTRALIA,N,4.75
2014.11.16,2014,Unprovoked,USA,N,3.0
2014.11.17,2014,Boat,USA,N,6.0
2014.11.13,2014,Unprovoked,USA,N,2.5
2014.11.10,2014,Unprovoked,AUSTRALIA,N,4.5
2014.11.08,2014,Unprovoked,USA,N,3.0
2014.10.31,2014,Unprovoked,USA,N,2.5
2014.10.30,2014,Provoked,AUSTRALIA,N,2.75
2014.10.22,2014,Unprovoked,USA,N,3.5
2014.10.20,2014,Unprovoked,USA,N,4.5
2014.10.19,2014,Boat,USA,N,5.0
2014.10.18,2014,Unprovoked,USA,N,3.5
2014.10.17,2014,Unprovoked,AUSTRALIA,N,2.25
2014.10.14,2014,Unprovoked,USA,N,3.5
2014.10.12,2014,Unprovoked,USA,N,4.5
2014.10.07,2014,Unprovoked,USA,N,3.8003003003003
2014.10.11,2014,Boat,AUSTRALIA,N,4.5
2014.10.05.b,2014,Unprovoked,USA,N,2.5
2014.10.05.a,2014,Unprovoked,USA,N,2.5
2014.10.03.b,2014,Boat,USA,N,3.5
2014.10.03.a,2014,Boat,USA,N,3.5
2014.10.02.b,2014,Unprovoked,USA,N,3.0
2014.10.02.a,2014,Unprovoked,AUSTRALIA,N,2.25
2014.09.21,2014,Unprovoked,USA,N,4.0
2014.09.13.R,2014,Unprovoked,FRENCH POLYNESIA,N,4.0
2014.09.13,2014,0,USA,N,3.5
2014.09.09,2014,Unprovoked,AUSTRALIA,Y,2.5
2014.09.06,2014,Unprovoked,USA,N,2.5
2014.09.03,2014,Unprovoked,USA,N,2.5
2014.09.02,2014,Provoked,USA,N,2.75
2014.09.00,2014,Unprovoked,SPAIN,N,4.5
2014.08.31,2014,Unprovoked,USA,N,2.5
2014.08.29.b,2014,Unprovoked,USA,N,3.5
2014.08.29.a,2014,0,USA,N,5.0
2014.08.28,2014,Provoked,USA,N,3.75
2014.08.27.c,2014,Unprovoked,SPAIN,N,3.5
2014.08.27.b,2014,Unprovoked,USA,N,3.5
2014.08.27.a,2014,Unprovoked,USA,N,4.5
2014.08.25,2014,Provoked,USA,N,4.25
2014.08.24,2014,Unprovoked,USA,N,5.5
2014.08.16,2014,Unprovoked,AUSTRALIA,N,3.5
2014.08.12,2014,Unprovoked,USA,N,3.25
2014.08.10,2014,Unprovoked,USA,N,4.5
2014.08.09.R,2014,Unprovoked,BAHAMAS,N,6.5
2014.08.09,2014,Unprovoked,USA,N,3.0
2014.08.08,2014,Unprovoked,USA,N,2.8003003003003
2014.08.06,2014,Unprovoked,USA,N,2.5
2014.08.05,2014,Unprovoked,USA,N,4.5
2014.08.02,2014,Unprovoked,USA,N,4.5
2014.08.02,2014,Unprovoked,USA,N,3.0
2014.08.01,2014,Unprovoked,SOUTH AFRICA,N,2.5
2014.08.00,2014,0,0,Y,8.0
2014.07.27,2014,Unprovoked,USA,N,4.0
2014.07.22,2014,Unprovoked,REUNION,N,3.5
2014.07.21,2014,Unprovoked,USA,N,3.3003003003003
2014.07.20,2014,Unprovoked,SPAIN,N,6.0
2014.07.16,2014,Unprovoked,USA,N,3.0
2014.07.14,2014,Unprovoked,USA,N,2.5
2014.07.13,2014,0,BAHAMAS,Y,2.5503003003003
2014.07.12,2014,Unprovoked,USA,N,5.0
2014.07.09,2014,Unprovoked,USA,N,3.0
2014.07.05.b,2014,Provoked,USA,N,3.25
2014.07.05.a,2014,Unprovoked,USA,N,4.5
2014.07.03,2014,Unprovoked,USA,N,2.5
2014.06.27.R,2014,Boat,ST. MARTIN,N,4.5
2014.06.25,2014,Unprovoked,BAHAMAS,N,3.5
2014.06.18.b,2014,Unprovoked,AUSTRALIA,N,4.0
2014.06.18.a,2014,Unprovoked,AUSTRALIA,N,3.0
2014.06.17.R,2014,Provoked,AUSTRALIA,N,4.25
2014.06.09.c,2014,Unprovoked,BRAZIL,N,5.5
2014.06.09.b,2014,Unprovoked,USA,N,2.25
2014.06.09.a,2014,Unprovoked,AUSTRALIA,N,2.5
2014.06.08,2014,Unprovoked,JAPAN,N,3.3003003003003
2014.06.07,2014,Unprovoked,USA,N,3.0503003003003
2014.06.01.c,2014,Unprovoked,USA,N,2.5
2014.06.01.b,2014,Unprovoked,AUSTRALIA,N,4.3003003003003
2014.06.01.a,2014,Unprovoked,USA,N,5.0
2014.05.27.R,2014,Unprovoked,AUSTRALIA,N,3.5
2014.05.23,2014,Unprovoked,FRANCE,N,3.8003003003003
2014.05.22,2014,Provoked,AUSTRALIA,N,3.75
2015.11.20,2015,Unprovoked,ECUADOR,N,2.5
2014.05.15,2014,Unprovoked,USA,N,3.0
2014.05.14,2014,Unprovoked,AUSTRALIA,N,2.5
2014.05.13,2014,Unprovoked,USA,N,3.0
2014.05.11,2014,Unprovoked,USA,N,3.5
2014.05.10.R,2014,0,USA,N,4.0
2014.05.06,2014,Unprovoked,USA,N,2.5
2014.05.01,2014,Unprovoked,USA,N,2.5
2014.04.24,2014,Unprovoked,AUSTRALIA,N,5.0
