,Year,Country,Area,Activity,Sex,Age,Fatal_Y_N
5243,1906,AUSTRALIA,Queensland,Diving for beche-de-mer ,M,17,Y
5244,1906,INDONESIA,,The schooner Tahitienne foundered in a hurricane,M,,Y
5245,1906,AUSTRALIA,New South Wales,.,M,18,Y
5246,1906,NEW ZEALAND,North Island,Swimming,M,,Y
5247,1906,AUSTRALIA,New South Wales,Bathing,M,31 or 33,Y
5248,1906,SOUTH AFRICA,KwaZulu-Natal,Washing horses,M,30,Y
5249,1905,SOUTH AFRICA,KwaZulu-Natal,Floating or standing,M,,Y
5250,1905,AUSTRALIA,Western Australia,Bathing,M,,N
5251,1905,MEDITERRANEAN SEA?,,A man's head found in a shark caught by British steamer Syria,M,,Y
5252,1905,AUSTRALIA,New South Wales,Swimming,M,,Y
5253,1905,USA,New Jersey,Swimming from naptha launch after a day of fishing,M,,N
5254,1905,PHILIPPINES,Luzon Island,Bathing,M,21,N
5255,1905,USA,North Carolina,Wading,M,16,Y
5256,1905,ITALY,,,M,8,Y
5257,1905,USA,North Carolina,Fishing,M,,Y
5258,1905,USA,Florida,Swimming,M,,N
5259,1905,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,26,Y
5260,1905,AUSTRALIA,New South Wales,Bathing,M,40,N
5261,1905,AUSTRALIA,Tasmania,Bathing,,,Y
5262,1905,AUSTRALIA,Victoria,Bathing,M,23,Y
5263,1905,AUSTRALIA,Victoria,Bathing,M,39,Y
5264,1905,USA,North Carolina,Harpooning turtles,,,N
5265,1904,PHILIPPINES,Luzon Island,Bathing alongside US Naval ship,M,,N
5266,1904,INDIAN OCEAN,Between Noumea & Sydney,Fell overboard,M,,Y
5267,1904,CUBA,Havana Province,Lost his footing & fell overboard,M,,Y
5268,1904,CUBA,Villa Clara Province,"Ship's boat capsized in squall, captain & 2 sailors clinging onto hull",M,,Y
5269,1904,USA,New Jersey,Sailing,M,,N
5270,1904,USA,Texas,Swimming,M,,Y
5271,1904,ITALY,Ancona Province,Swimming,M,,Y
5272,1904,AUSTRALIA,Queensland,Swimming after his hat,M,,Y
5273,1904,NEW ZEALAND,North Island,Swimming,M,30,Y
5274,1904,NEW CALEDONIA,South Province,Bathing,M,,Y
5275,1904,USA,,Diving on a wreck,M,,N
5276,1904,PHILIPPINES,Quezon,Bathing,M,,N
5277,1904,USA,Hawaii,Swimming,M,,Y
5278,1903,CUBA,Havana Province,Fell overboard,M,,Y
5279,1903,USA,New Jersey,Fishing,M,,N
5280,1903,FALKLAND ISLANDS,,"Swimming, after falling overboard",M,28,N
5281,1903,AUSTRALIA,New South Wales,Swimming,M,,Y
5282,1903,MEXICO,Veracruz,Bathing,M,,Y
5283,1903,AUSTRALIA,New South Wales,Suicide,M,,Y
5284,1903,AUSTRALIA,Queensland,Swimming,M,,Y
