Case Number,Year,Country,Area
1942.01.18,1942,AUSTRALIA,New South Wales
1942.01.04,1942,AUSTRALIA,New South Wales
1942.01.00,1942,AUSTRALIA,New South Wales
1942.00.00.k,1942,INDONESIA,East Java
1942.00.00.j,1942,AUSTRALIA,Tasmania
1942.00.00.i,1942,PHILIPPINES,Camiguin Island
1942.00.00.h,1942,SOUTH AFRICA,Western Cape Province
1942.00.00.g,1942,SOUTH AFRICA,Western Cape Province
1942.00.00.f,1942,BAHAMAS,Cay Sal Bank
1942.00.00.e,1942,,
1942.00.00.d,1942,MID-PACIFC OCEAN,(Southwestern Pacific)
1942.00.00.c,1942,SOUTHWEST PACIFIC OCEAN,
1942.00.00.b,1942,,
1942.00.00.a,1942,PANAMA,Panama City
1941.12.07,1941,SOUTH ATLANTIC OCEAN,
1941.12.03,1941,AUSTRALIA,Western Australia
1941.11.27.b,1941,SOUTH ATLANTIC OCEAN,Off Libya
1941.11.27.a,1941,SOUTH ATLANTIC OCEAN,Off Libya
1941.11.24,1941,SOUTH ATLANTIC OCEAN,"North of Pernambuco, Brazil"
1941.11.19,1941,AUSTRALIA,Western Australia
1941.09.25,1941,CARIBBEAN SEA,
1941.08.21.R,1941,USA,New York
1941.08.05,1941,AUSTRALIA,New South Wales
1941.08.01,1941,USA,South Carolina
1941.07.22,1941,USA,New Jersey
1941.07.01,1941,USA,Hawaii
1941.06.15,1941,USA,New York
1941.06.00,1941,PACIFIC OCEAN,Off coast of Ecuador
1941.03.24,1941,SOUTH ATLANTIC OCEAN,
1941.03.09,1941,USA,California
1941.02.13.,1941,AUSTRALIA,New South Wales
1941.02.01,1941,JAMAICA,Trelawney Province
1941.01.29,1941,SOUTH ATLANTIC OCEAN,In Convoy OB 274
1941.01.00,1941,ATLANTIC OCEAN,
1941.00.00.h,1941,SOLOMON ISLANDS,New Georgia
1941.00.00.f,1941,IRAN,Khuzestan Province
1941.00.00.e,1941,IRAN,Khuzestan Province
1941.00.00.d,1941,IRAN,Khuzestan Province
1941.00.00.c,1941,IRAN,Khuzestan Province
1941.00.00.b,1941,IRAN,Khuzestan Province
1941.00.00.a,1941,PAPUA NEW GUINEA,
1940.12.28,1940,AUSTRALIA,New South Wales
1940.12.20,1940,SOUTH AFRICA,KwaZulu-Natal
1940.12.19.R,1940,AUSTRALIA,Queensland
1940.12.10,1940,AUSTRALIA,Northern Territory
1940.09.00,1940,PANAMA,Panama Bay (Pacific Ocean)
1940.07.13.b,1940,USA,South Carolina
1940.07.13.a,1940,USA,South Carolina
1940.06.30,1940,USA,North Carolina
1940.03.31,1940,SOUTH AFRICA,KwaZulu-Natal
1940.03.20,1940,AUSTRALIA,New South Wales
1940.02.22,1940,SOUTH AFRICA,KwaZulu-Natal
1940.02.20,1940,AUSTRALIA,New South Wales
1940.02.04,1940,AUSTRALIA,New South Wales
1940.01.29,1940,AUSTRALIA,Queensland
1940.01.23,1940,AUSTRALIA,New South Wales
1940.01.15,1940,AUSTRALIA,Queensland
1940.01.07,1940,SOUTH AFRICA,KwaZulu-Natal
1940.01.01,1940,AUSTRALIA,Queensland
1940.00.00.f,1940,SLOVENIA,Adriatic Sea
1940.00.00.e,1940,NEW GUINEA,Bwagaoia
1940.00.00.d,1940,PAPUA NEW GUINEA,Western Papuan Gulf
1940.00.00.c,1940,SOUTH AFRICA,Eastern Cape Province
1940.00.00.b,1940,SOUTH AFRICA,KwaZulu-Natal
1940.00.00.a,1940,SOUTH AFRICA,Eastern Cape Province
1939.12.28,1939,AUSTRALIA,New South Wales
1939.12.14,1939,AUSTRALIA,Queensland
1939.11.23,1939,AUSTRALIA,New South Wales
1939.11.11,1939,AUSTRALIA,New South Wales
1939.11.09,1939,AUSTRALIA,New South Wales
1939.11.06,1939,AUSTRALIA,New South Wales
1939.11.02.R,1939,SAMOA,
1939.10.25.R,1939,AUSTRALIA,Queensland
1939.10.04,1939,USA,Hawaii
1939.09.27.R,1939,AUSTRALIA,Torres Strait 
1939.08.01,1939,USA,California
1939.07.18,1939,PACIFIC OCEAN,
1939.07.16,1939,BAHAMAS,Andros Islands
1939.07.14,1939,USA,Texas
1939.05.03,1939,USA,Virginia
1939.04.12.R,1939,PAPUA NEW GUINEA,Morobe Province
1939.03.24,1939,PAPUA NEW GUINEA,Central Province
1939.02.26,1939,NEW ZEALAND,North Island
1939.01.12,1939,AUSTRALIA,New South Wales
1939.00.00.e,1939,SRI LANKA,
1939.00.00.d,1939,BAHAMAS,Andros Islands
1939.00.00.c,1939,VENEZUELA,Carabobo
1939.00.00.b,1939,CURACAO,Ascension Bay
1939.00.00.a,1939,PAPUA NEW GUINEA,"Abau Sub District, Central Province"
1938.12.27,1938,AUSTRALIA,New South Wales
1938.10.05,1938,AUSTRALIA,Queensland
1938.08.29,1938,CHINA,North China
1938.08.18,1938,USA,California
1938.07.18,1938,USA,South Carolina
1938.07.17.R,1938,TURKEY,
1938.07.17,1938,USA,California
1938.07.12,1938,AUSTRALIA,Torres Strait
1938.06.17,1938,NICARAGUA,Lower San Juan River
1938.06.08,1938,AUSTRALIA,New South Wales
1938.05.26,1938,COSTA RICA,Nicoya Peninsula
1938.05.15,1938,IRAQ,Basrah City
1938.05.02.R,1938,INDIA,West Bengal
1938.03.21.R,1938,FIJI,Viti Levu
1938.03.08,1938,AUSTRALIA,Northern Territory
1938.01.21,1938,AUSTRALIA,New South Wales
1938.01.18,1938,SOUTH AFRICA,KwaZulu-Natal
1938.01.14,1938,AUSTRALIA,New South Wales
1938.01.02,1938,AUSTRALIA,New South Wales
1938.00.00.e.R,1938,EGYPT,
1938.00.00.d,1938,TRINIDAD & TOBAGO,Trinidad
1938.00.00.c,1938,USA,North Carolina
1938.00.00.b,1938,AUSTRALIA,Torres Strait
1938.00.00.a,1938,SOUTH AFRICA,KwaZulu-Natal
1937.11.13,1937,USA,North Carolina
1937.11.11,1937,AUSTRALIA,Torres Strait 
1937.11.06.R,1937,SOLOMON ISLANDS,
1937.10.27.b,1937,AUSTRALIA,Queensland 
1937.10.27.a,1937,AUSTRALIA,Queensland
1937.10.24.c,1937,AUSTRALIA,New South Wales
1937.10.24.a,1937,AUSTRALIA,New South Wales
1937.09.26.R,1937,CROATIA, Split-Dalmatia County
1937.09.12,1937,SCOTLAND,Argyllshire
1937.09.11,1937,SCOTLAND,Arran
1937.09.01,1937,SCOTLAND,Argyll
1937.08.31,1937,AUSTRALIA,Torres Strait
1937.08.16,1937,TURKEY,
1937.08.02,1937,PANAMA,Colon Province
1937.07.16.R,1937,AUSTRALIA,Northern Territory
1937.07.06,1937,ITALY,Liguria
1937.06.28.R,1937,GREECE,
1937.06.15.b,1937,AUSTRALIA,New South Wales
1937.06.15,1937,USA,Texas
1937.05.30,1937,USA,Texas
1937.05.15,1937,AUSTRALIA,Queensland
1937.03.26,1937,AUSTRALIA,New South Wales
1937.03.09,1937,AUSTRALIA,Victoria
1937.02.13,1937,AUSTRALIA,New South Wales
1937.02.11,1937,AUSTRALIA,New South Wales
1937.02.04,1937,AUSTRALIA,New South Wales
1937.02.03,1937,AUSTRALIA,Queensland
1937.02.02,1937,AUSTRALIA,South Australia
1937.01.27,1937,AUSTRALIA,New South Wales
1937.00.00,1937,AUSTRALIA,Torres Strait
1936.12.30,1936,USA,Hawaii
1936.12.19,1936,AUSTRALIA,Queensland
1936.12.15,1936,AUSTRALIA,New South Wales
1936.12.12,1936,AUSTRALIA,New South Wales
1936.12.01,1936,AUSTRALIA,Victoria
1936.11.27,1936,AUSTRALIA,Torres Strait
1936.09.04,1936,USA,Hawaii
1936.08.24,1936,AUSTRALIA,Torres Strait
1936.08.11,1936,CANADA,Newfoundland
1936.08.04,1936,AUSTRALIA,Torres Strait
1936.08.00,1936,USA,North Carolina
1936.07.25,1936,USA,Massachusetts
1936.07.12,1936,USA,New Jersey
1936.07.07,1936,AUSTRALIA,Torres Strait
1936.07.00,1936,SOUTH AFRICA,Western Cape Province
1936.06.26,1936,AUSTRALIA,Torres Strait
1936.06.06,1936,USA,Florida
1936.04.22,1936,AUSTRALIA,Queensland
1936.04.08,1936,AUSTRALIA,Queensland
1936.03.30,1936,USA,Florida
1936.03.22,1936,AUSTRALIA,Torres Strait
1936.03.19,1936,AUSTRALIA,Queensland
1936.03.04.,1936,AUSTRALIA,Northern Territory
1936.02.23,1936,AUSTRALIA,New South Wales
1936.02.20..R,1936,AUSTRALIA,Queensland
1936.02.04,1936,AUSTRALIA,New South Wales
1936.01.22,1936,AUSTRALIA,South Australia
1936.01.05,1936,AUSTRALIA,Queensland
1936.01.00,1936,AUSTRALIA,New South Wales
1936.00.00,1936,AUSTRALIA,Victoria 
1935.12.23,1935,AUSTRALIA,Victoria
1935.11.13,1935,AUSTRALIA,Torres Strait
1935.09.21,1935,USA,North Carolina
1935.09.04.R,1935,PAPUA NEW GUINEA,Central Province
1935.08.26,1935,AUSTRALIA,Queensland
1935.08.24,1935,UNITED KINGDOM,Isle of Wight
1935.08.13,1935,AUSTRALIA,Torres Strait
1935.07.27.b,1935,USA,California
1935.07.27.a,1935,USA,California
1935.07.05,1935,PANAMA,
1935.07.01,1935,CROATIA,Adriatic Sea
1935.06.18,1935,USA,New Jersey
1935.06.05.R,1935,SOLOMON ISLANDS,Makira-Uluwa Province
1935.06.00.b,1935,AUSTRALIA,South Australia
1935.06.00.a,1935,PAPUA NEW GUINEA,Northern (Oro) Province
1935.05.19,1935,SOUTH AFRICA,KwaZulu-Natal
1935.05.12,1935,AUSTRALIA,Torres Strait
1935.04.25,1935,AUSTRALIA,New South Wales
1935.04.12.R,1935,,
1935.04.08.R,1935,USA,California
1935.03.30,1935,AUSTRALIA,Queensland
1935.03.25.R,1935,SOUTH AFRICA,KwaZulu-Natal
1935.03.20,1935,AUSTRALIA,Torres Strait
1935.03.13,1935,AUSTRALIA,Queensland
1935.03.11,1935,AUSTRALIA,New South Wales
1935.03.09,1935,AUSTRALIA,New South Wales
1935.03.02,1935,AUSTRALIA,New South Wales
1935.02.14,1935,AUSTRALIA,New South Wales
1935.01.24.b,1935,AUSTRALIA,New South Wales
1935.01.24.a,1935,AUSTRALIA,Queensland
1935.01.21.R,1935,ISRAEL,Herzliyah
1935.01.17,1935,AUSTRALIA,Queensland
1934.12.31.b,1934,AUSTRALIA,New South Wales
1934.12.31.a,1934,AUSTRALIA,New South Wales
1934.12.23.b,1934,AUSTRALIA,New South Wales
1934.12.23.a,1934,AUSTRALIA,New South Wales
1934.10.09,1934,AUSTRALIA,Northern Territory
1934.10.08,1934,BERMUDA,Hamilton
1934.10.02,1934,AUSTRALIA,Torres Strait
1934.09.08,1934,BERMUDA,Hamilton
1934.08.27,1934,ITALY,Sicily
1934.08.26.R,1934,ITALY / CROATIA,
1934.08.26,1934,AUSTRALIA,Queensland
1934.08.21,1934,CROATIA,Adriatic Sea
1934.08.05,1934,USA,Georgia
1934.07.11,1934,AUSTRALIA,New South Wales
1934.06.21,1934,AUSTRALIA,New South Wales
1934.06.20,1934,USA,Florida
1934.04.15,1934,AUSTRALIA,Queensland
1934.04.01.c,1934,SOUTH AFRICA,KwaZulu-Natal
1934.04.01.b,1934,SOUTH AFRICA,KwaZulu-Natal
1934.04.01.a,1934,AUSTRALIA,New South Wales
1934.03.12,1934,AUSTRALIA,New South Wales
1934.03.00,1934,AUSTRALIA,New South Wales
1934.02.24,1934,AUSTRALIA,Torres Strait
1934.02.22,1934,CHILE,Elqui Province
1934.01.08.R,1934,TURKEY,Istanbul
1934.01.27,1934,AUSTRALIA,New South Wales
1934.01.07,1934,AUSTRALIA,New South Wales
1933.11.20,1933,AUSTRALIA,Torres Strait
1933.11.18,1933,AUSTRALIA,Queensland
1933.10.25.R,1933,AUSTRALIA,Queensland
1933.09.27.R,1933,ISRAEL,
1933.08.28.b,1933,USA,California
1933.08.28.a,1933,USA,South Carolina
1933.08.26.R,1933,USA,Connecticut
1933.07.07.R,1933,USA,California
1933.07.03,1933,AUSTRALIA,Western Australia
1933.06.21,1933,USA,South Carolina
1933.06.16,1933,USA,South Carolina
1933.06.13,1933,AUSTRALIA,Northern Territory
1933.05.24,1933,BARBADOS,St Michael Parish
1933.05.23,1933,AUSTRALIA,Queensland
1933.06.08.R,1933,AUSTRALIA,Queensland
1933.05.03,1933,CUBA,Havana Province
1933.04.10,1933,USA,Florida
1933.02.26,1933,AUSTRALIA,New South Wales
1933.02.15.R,1933,AUSTRALIA,Torres Strait
1933.02.14,1933,AUSTRALIA,South Australia
1933.02.12,1933,AUSTRALIA,South Australia
1933.01.04,1933,AUSTRALIA,Queensland
1932.12.11.R,1932,AUSTRALIA,Northern Territory
1932.12.09.R,1932,NEW ZEALAND,North Island
1932.11.09,1932,CUBA,
1932.10.31,1932,AUSTRALIA,New South Wales
1932.10.11,1932,CAPE VERDE,Barlavento Islands
1932.09.26.R,1932,FIJI,Viti Levu Island
1932.08.30.b,1932,AUSTRALIA,New South Wales
1932.08.30.a,1932,AUSTRALIA,New South Wales
1932.08.10,1932,USA,New Jersey
1932.08.09,1932,AUSTRALIA,Torres Strait
1932.08.06,1932,BAHAMAS,New Providence Island
1932.07.14.R,1932,USA,Texas
1932.07.02,1932,CANADA,Bay of Fundy
1932.06.28,1932,USA,New Jersey
1932.06.26,1932,USA,New Jersey
1932.06.20,1932,FIJI,Yasawa Islands
1932.05.12,1932,AUSTRALIA,Torres Strait
1932.05.00,1932,AUSTRALIA,Torres Strait
1932.04.16.b,1932,PHILIPPINES,Manila
1932.04.16.a,1932,PHILIPPINES,Manila
1932.02.16,1932,USA,Hawaii
1932.02.13,1932,AUSTRALIA,Queensland
1932.02.08,1932,PHILIPPINES,Manila
1932.01.27,1932,AUSTRALIA,Queensland
1932.01.11,1932,AUSTRALIA,Victoria
1932.01.06,1932,MEXICO,Baja California
1932.00.00,1932,SOUTH AFRICA,Eastern Cape Province
1931.11.26,1931,AUSTRALIA,Torres Strait
1931.09.27,1931,JAMAICA,
1931.09.21.b,1931,USA,Florida
1931.09.21.a,1931,USA,Florida
1931.09.02,1931,USA,Hawaii
1931.08.31,1931,CUBA,Havana Province
1931.08.30,1931,USA,Hawaii
1931.08.27,1931,USA,New Jersey
1931.08.25,1931,CUBA,Havana Province
1931.08.23,1931,CUBA,Havana Province
1931.08.18,1931,USA,Texas
1931.08.06.R,1931,USA,New Jersey
1931.08.01,1931,AUSTRALIA,Queensland
1931.07.28.R,1931,FIJI,Viti Levu Island
1931.07.15,1931,USA,New Jersey
1931.06.14,1931,USA,Hawaii
1931.06.13,1931,USA,Hawaii
1931.06.04.R,1931,USA,Florida
1931.05.02,1931,AUSTRALIA,New South Wales
1931.04.27.R,1931,,French Southern Territories
1931.03.22,1931,AUSTRALIA,Queensland
1931.03.15,1931,TURKEY,
1931.03.06,1931,AUSTRALIA,South Australia
1931.02.10,1931,AUSTRALIA,New South Wales
1931.01.24,1931,AUSTRALIA,Torres Strait
1931.01.14,1931,AUSTRALIA,Torres Strait
1931.01.07,1931,AUSTRALIA,Queensland
1931.00.00.b,1931,TONGA,Niua 
1931.00.00.a,1931,PAPUA NEW GUINEA,
1930.12.25,1930,AUSTRALIA,New South Wales
1930.12.13,1930,AUSTRALIA,New South Wales
1930.12.02,1930,AUSTRALIA,Victoria
1930.12.00,1930,AUSTRALIA,New South Wales
1930.11.30,1930,AUSTRALIA,Queensland
1930.09.26.R,1930,HONDURAS,Black River
1930.09.12.R,1930,AZORES,
1930.08.31,1930,AUSTRALIA,Western Australia
1930.08.16,1930,SPAIN,Canary Islands
1930.08.06,1930,USA,Florida
1930.07.19,1930,CUBA,Havana Province
1930.07.11,1930,USA,Florida
1930.06.04,1930,AUSTRALIA,Torres Strait
1930.05.27,1930,USA,Texas
1930.05.11.R,1930,TURKEY,
1930.05.11,1930,COSTA RICA,Limón Province
1930.04.08,1930,SOUTH AFRICA,Eastern Cape Province
1930.03.07.R,1930,USA,Florida
1930.02.20,1930,AUSTRALIA,Torres Strait
1930.02.15,1930,AUSTRALIA,Victoria
1930.02.03.R,1930,AUSTRALIA,Western Australia
1930.01.22,1930,MEXICO,Veracruz
1930.01.16,1930,SOUTH AFRICA,Western Cape Province
1930.01.00,1930,MAURITIUS,
1930.00.00.c,1930,OKINAWA,
1930.00.00.a,1930,SOUTH AFRICA,Eastern Cape Province
1929.12.26,1929,AUSTRALIA,New South Wales
1929.12.21,1929,AUSTRALIA,Torres Strait
1929.12.16,1929,AUSTRALIA,New South Wales
1929.12.13,1929,AUSTRALIA,Torres Strait
1929.12.03.R,1929,AUSTRALIA,Queensland
1929.11.29,1929,KIRIBATI,Phoenix Islands
1929.11.21,1929,CUBA,Cienfuegos Province
1929.10.20,1929,AUSTRALIA,Torres Strait
1929.10.02,1929,SPAIN,Valencia
1929.09.01,1929,AUSTRALIA,Queensland
1929.08.05,1929,USA,South Carolina
1929.07.29,1929,MEXICO,Tamaulipas
1929.07.17.R,1929,CAPE VERDE,Santiago Island
1929.06.23,1929,USA,Florida
1929.05.31,1929,AUSTRALIA,Torres Strait
1929.04.26.R,1929,AUSTRALIA,Queensland
1929.04.17.R,1929,AUSTRALIA,Queensland
1929.04.11,1929,AUSTRALIA,Queensland
1929.04.09,1929,AUSTRALIA,Torres Strait
1929.04.04,1929,AUSTRALIA,Torres Strait
1929.03.16,1929,USA,Florida
1929.03.12,1929,AUSTRALIA,Torres Strait
1929.03.04.b,1929,AUSTRALIA,South Australia
1929.03.04.a,1929,AUSTRALIA,South Australia
1929.02.18,1929,AUSTRALIA,New South Wales
1929.02.09,1929,AUSTRALIA,Western Australia
1929.02.08,1929,AUSTRALIA,New South Wales
1929.01.27,1929,AUSTRALIA,Queensland
1929.01.14,1929,NEW ZEALAND,North Island
1929.01.12,1929,AUSTRALIA,New South Wales
1929.01.06.R,1929,TURKEY,
1929.01.05,1929,FIJI,Viti Levu Island
1929.00.00.e.R,1929,AUSTRALIA,New South Wales
1929.00.00.d,1929,AUSTRALIA,South Australia
1929.00.00.c,1929,USA,Florida
1929.00.00.b,1929,AUSTRALIA,New South Wales
1929.00.00.a,1929,USA,Florida
1928.12.21,1928,AUSTRALIA,
1928.11.18,1928,USA,New Jersey
1928.11.15.R,1928,INDIA,
1928.11.12,1928,USA,Virginia
1928.11.04,1928,PANAMA,Gulf of Panama
1928.09.00,1928,USA,Texas
1928.08.24.R,1928,USA,New Jersey
1928.07.11,1928,AUSTRALIA,
1928.07.00,1928,ITALY,Tuscany
1928.06.24.R,1928,USA,Florida
1928.05.17,1928,INDIA,
1928.04.14.R,1928,AUSTRALIA,Queensland
1928.04.14,1928,AUSTRALIA,New South Wales
1928.04.09,1928,JAMAICA,
1928.04.06,1928,AUSTRALIA,Queensland
1928.04.04,1928,AUSTRALIA,New South Wales
1928.03.28.R,1928,AUSTRALIA,Queensland
1928.02.20,1928,AUSTRALIA,Torres Strait
1928.02.00.b,1928,COSTA RICA,Near Puntarenas
1928.02.00.a,1928,COSTA RICA,Near Puntarenas
1928.01.27,1928,AUSTRALIA,Torres Strait
1928.01.21.b,1928,USA,Florida
1928.01.21.a,1928,USA,Florida
1928.01.02,1928,SOUTH AFRICA,Eastern Cape Province
1928.01.00,1928,SOUTH AFRICA,Eastern Cape Province
1928.00.00,1928,SOUTH AFRICA,KwaZulu-Natal
1927.12.28,1927,SOUTH AFRICA,Western Cape Province
1927.11.03,1927,AUSTRALIA,New South Wales
1927.10.25,1927,BRAZIL,Porto Seguro
1927.10.12,1927,AUSTRALIA,New South Wales
1927.10.00,1927,FIJI,
1927.07.03,1927,AUSTRALIA,New South Wales
1927.05.29,1927,PHILIPPINES,Luzon Island
1927.05.09.R,1927,AUSTRALIA,Queensland
1927.04.10,1927,AUSTRALIA,Torres Strait
1927.04.08,1927,AUSTRALIA,Queensland
1927.03.01,1927,AUSTRALIA,New South Wales
1927.02.14,1927,NICARAGUA,Salinas Bay
1927.02.09,1927,AUSTRALIA,Queensland
1927.02.00,1927,NEW ZEALAND,South Island
1927.01.20,1927,SOUTH AFRICA,Eastern Cape Province
1927.01.08.R,1927,USA,California
1927.01.03,1927,AUSTRALIA,New South Wales
1927.00.00.b,1927,AUSTRALIA,New South Wales
1927.00.00.a,1927,AUSTRALIA,Torres Strait
1926.12.02.R,1926,AUSTRALIA,Torres Strait
1926.11.17,1926,AUSTRALIA,Torres Strait
1926.10.29.R,1926,PAPUA NEW GUINEA,Central Province
1926.10.23.b,1926,AUSTRALIA,New South Wales
1926.10.23.a,1926,BERMUDA,
1926.09.06.R,1926,PAPUA NEW GUINEA,
1926.08.24,1926,USA,New Jersey
1926.07.23,1926,ITALY,Golfo di Genova in the Ligurian Sea
1926.07.12,1926,USA,New Jersey
1926.07.08,1926,USA,California
1926.07.03,1926,SPAIN,Sants-Montjic
1926.05.18,1926,USA,Hawaii
1926.04.22,1926,SOUTH ATLANTIC OCEAN,South of the Equator 
1926.04.07,1926,USA,Hawaii
1926.03.17,1926,AUSTRALIA,South Australia
1926.01.26,1926,SOUTH AFRICA,Eastern Cape Province
1926.01.00,1926,AUSTRALIA,Victoria
1926.00.00.d,1926,MONACO,Bay of Monaco
1926.00.00.c,1926,NEW ZEALAND,Cook Islands
1926.00.00.b,1926,SINGAPORE,
1926.00.00.a,1926,SOUTH AFRICA,Western Cape Province
1925.11.22,1925,AUSTRALIA,Western Australia
1925.11.00.b,1925,USA,Puerto Rico
1925.11.00.a,1925,USA,Puerto Rico
1925.09.04,1925,SPAIN,Valencia 
1925.09.03,1925,ENGLAND,Isle of Wight
1925.08.02,1925,USA,South Carolina
1925.06.15,1925,AUSTRALIA,Western Australia
1925.05.00,1925,USA,Puerto Rico
1925.03.27,1925,AUSTRALIA,New South Wales
1925.03.12,1925,AUSTRALIA,New South Wales
1925.03.10,1925,PAPUA NEW GUINEA,Central Province
1925.01.27.R,1925,USA,Florida
1925.01.08,1925,CANADA,Vancouver
1925.00.00,1925,FIJI,Viti Levu Island
1924.11.25,1924,MEXICO,Tamaulipas
1924.11.24,1924,PANAMA,"2 to 3 miles off Taboguilla Island, Pacific Ocean"
1924.11.21,1924,USA,Puerto Rico
1924.10.31.R,1924,FRENCH POLYNESIA,Tuamotus
1924.10.18,1924,AUSTRALIA,Victoria
1924.07.31,1924,USA,South Carolina
1924.07.14,1924,ENGLAND,Dorset
1924.07.04,1924,USA,California
1924.06.18,1924,USA,Florida
1924.04.25,1924,AUSTRALIA,New South Wales
1924.04.22,1924,PANAMA,150 miles offshore
1924.04.20,1924,AUSTRALIA,Western Australia
1924.03.28.R,1924,SOLOMON ISLANDS,Central Province
1924.03.24,1924,SPAIN,Galica
1924.02.13,1924,AUSTRALIA,New South Wales
1924.02.08,1924,AUSTRALIA,Queensland
1924.01.29,1924,SOUTH AFRICA,KwaZulu-Natal
1924.01.25,1924,SOUTH AFRICA,Eastern Cape Province
1924.01.19,1924,AUSTRALIA,New South Wales
1923.12.12,1923,AUSTRALIA,New South Wales
1923.12.02,1923,AUSTRALIA,New South Wales
1923.11.23,1923,AUSTRALIA,Western Australia
1923.11.02,1923,AUSTRALIA,New South Wales
1923.10.20,1923,AUSTRALIA,New South Wales
1923.10.17,1923,AUSTRALIA,New South Wales
1923.10.16,1923,AUSTRALIA,Torres Strait
1923.08.08,1923,GUYANA,Demerara County
1923.07.02.R,1923,AUSTRALIA,Queensland
1923.06.16,1923,AUSTRALIA,New South Wales
1923.06.06,1923,MEXICO,Vera Cruz
1923.05.23.R,1923,AUSTRALIA,Western Australia
1923.05.22,1923,AUSTRALIA,Queensland
1923.03.18,1923,AUSTRALIA,Queensland
1923.02.00,1923,USA,Puerto Rico
1923.01.27.b,1923,AUSTRALIA,Western Australia
1923.01.27.a,1923,AUSTRALIA,Western Australia
1923.01.13,1923,CUBA,Caribbean Sea
1923.00.00.c,1923,USA,New Jersey
1923.00.00.b,1923,PHILIPPINES, Manila Bay
1923.00.00.a,1923,USA,New Jersey
1923.00.00.a,1922,USA,New Jersey
1922.12.14,1922,USA,Puerto Rico
1922.12.05,1922,AUSTRALIA,Queensland
1922.09.29,1922,BARBADOS,Lucy
1922.10.29,1922,AUSTRALIA,New South Wales
1922.09.28,1922,USA,Hawaii
1922.09.26.R,1922,ENGLAND,East Yorkshire
1922.09.21.R,1922,USA,Massachusetts
1922.07.19,1922,USA,Florida
1922.06.17,1922,USA,Florida
1922.05.24,1922,JAMAICA,Westmoreland Parish
1922.05.06,1922,SOUTH AFRICA,Western Cape Province
1922.04.26,1922,AUSTRALIA,New South Wales
1922.03.20,1922,JAMAICA,Kingston Parish
1922.03.13,1922,JAMAICA,Kingston Parish
1922.03.02,1922,AUSTRALIA,New South Wales
1922.02.22.R,1922,AUSTRALIA,New South Wales
1922.02.04,1922,AUSTRALIA,New South Wales
1922.01.28.R,1922,IRAQ,
1922.01.15,1922,AUSTRALIA,Queensland
1922.01.13,1922,AUSTRALIA,New South Wales
1922.01.04,1922,AUSTRALIA,New South Wales
1921.12.11,1921,AUSTRALIA,Queensland
1921.11.27.b,1921,AUSTRALIA,Queensland
1921.11.27.a,1921,AUSTRALIA,Queensland
1921.11.15.R,1921,FIJI,Viti Levu Island
1921.10.12,1921,AUSTRALIA,Queensland
1921.10.04,1921,AUSTRALIA,Queensland
1921.09.00,1921,ENGLAND,Dorset
1921.08.29.R,1921,AUSTRALIA,Torres Strait
1921.08.28,1921,PHILIPPINES,Luzon Island
1921.01.11.R,1921,PHILIPPINES,"Cavite Province, Luzon"
1920.11.29,1920,AUSTRALIA,Western Australia
1921.08.22,1921,HAITI,Cape Haitien
1920.11.22,1920,AUSTRALIA,Western Australia
1920.11.04,1920,PHILIPPINES,Leyte
1920.07.14,1920,USA,New York
1920.07.05.R,1920,AUSTRALIA,Torres Strait
1920.06.29,1920,USA,Florida
1920.06.27,1920,CANADA,Halifax
1920.03.08,1920,AUSTRALIA,Queensland
1920.01.24.R.b,1920,AUSTRALIA,Torres Strait
1920.02.03,1920,SOUTH AFRICA,Eastern Cape Province
1920.01.24.R.a,1920,AUSTRALIA,Torres Strait
1920.01.15,1920,AUSTRALIA,New South Wales
1920.00.00.b,1920,JAMAICA,Westmoreland Parish
1920.00.00.b,1920,NEW ZEALAND,North Island
1920.00.00.a,1920,SOUTH AFRICA,KwaZulu-Natal
1919.12.30.R,1919,AUSTRALIA,Queensland
1919.12.07,1919,AUSTRALIA,New South Wales
1919.11.18,1919,AUSTRALIA,Northern Territory
1919.09.12,1919,COSTA RICA,Turtle Bogue
1919.08.10,1919,USA,Florida
1919.05.29,1919,USA,South Carolina
1919.04.06,1919,USA,Florida
1919.03.16,1919,AUSTRALIA,New South Wales
1919.01.17,1919,AUSTRALIA,New South Wales
1919.01.15,1919,NEW ZEALAND,South Island
1919.01.09,1919,AUSTRALIA,New South Wales
1919.01.05,1919,AUSTRALIA,Queensland
1900.00.00.R,1919,ITALY,
1919.00.00,1919,USA,Florida
1918.11.00.b,1918,USA,Hawaii
1918.11.00.a,1918,SAN DOMINGO,60 miles north of San Domingo in the West Indies
1918.09.19,1918,AUSTRALIA,Queensland
1918.03.22,1918,AUSTRALIA,New South Wales
1918.00.00,1918,AUSTRALIA,Queensland
1917.12.15,1917,AUSTRALIA,Western Australia
1917.11.00,1917,MOZAMBIQUE,Maputo Province
1917.09.21,1917,USA,New Jersey
1917.09.09,1917,USA,Hawaii
1917.09.00,1917,PANAMA,Colon
1917.07.18,1917,USA,Florida
1917.07.15,1917,IRELAND,Off Ireland
1917.06.03,1917,USA,South Carolina
1917.05.31,1917,PHILIPPINES,Luzon Island
1917.05.05,1917,KUWAIT,
1917.00.00,1917,LIBYA,Mediterranean Sea
1916.12.30,1916,AUSTRALIA,Queensland
1916.12.08.b,1916,AUSTRALIA,New South Wales
1916.12.08.a,1916,AUSTRALIA,New South Wales
