Case Number,Date,Year,Country,Area,Fatal (Y/N),Activity,original order
2014.10.05.a,05-Oct-14,2014,USA,Florida,N,Surfing,5722
2014.10.03.b,03-Oct-14,2014,USA,California,N,Kayaking,5721
2014.10.03.a,03-Oct-14,2014,USA,California,N,Kayaking ,5720
2014.10.02.b,02-Oct-14,2014,USA,California,N,Surfing,5719
2014.10.02.a,02-Oct-14,2014,AUSTRALIA,Western Australia,N,Surfing,5718
2014.09.21,21-Sep-14,2014,USA,Florida,N,Surfing,5717
2014.09.13.R,Reported 12-Sep-2014,2014,FRENCH POLYNESIA,Moorea,N,Feeding fish,5716
2014.09.13,13-Sep-14,2014,USA,California,N,Surfing,5715
2014.09.09,09-Sep-14,2014,AUSTRALIA,New South Wales,Y,Swimming,5714
2014.09.06,06-Sep-14,2014,USA,Alabama,N,Fishing ,5713
2014.09.03,03-Sep-14,2014,USA,Massachusetts,N,Kayaking ,5712
2014.09.02,02-Sep-14,2014,USA,Florida,N,Fishing,5711
2014.09.00,Sep-14,2014,SPAIN,Catalonia,N,Playing with an air mattress,5710
2014.08.31,31-Aug-14,2014,USA,Florida,N,Body surfing,5709
2014.08.29.b,29-Aug-14,2014,USA,Florida,N,Surfing,5708
2014.08.29.a,29-Aug-14,2014,USA,Florida,N,,5707
2014.08.28,28-Aug-14,2014,USA,Maryland,N,Fishing,5706
2014.08.27.c,27-Aug-14,2014,SPAIN,Alicante,N,Swimming,5705
2014.08.27.b,27-Aug-14,2014,USA,North Carolina,N,Surfing,5704
2014.08.27.a,27-Aug-14,2014,USA,South Carolina,N,Standing,5703
2014.08.25,Reported 25-Aug-2014,2014,USA,Florida,N,Fishing for sharks,5702
2014.08.24,24-Aug-14,2014,USA,North Carolina,N,Kite boarding,5701
2014.08.16,16-Aug-14,2014,AUSTRALIA,Western Australia,N,Spearfishing,5700
2014.08.12,12-Aug-14,2014,USA,Florida,N,Standing,5699
2014.08.10,10-Aug-14,2014,USA,Florida,N,,5698
2014.08.09.R,09-Aug-14,2014,BAHAMAS,,N,Spearfishing,5697
2014.08.09,09-Aug-14,2014,USA,Florida,N,Swimming,5696
2014.08.08,08-Aug-14,2014,USA,Louisiana,N,Swimming,5695
2014.08.06,06-Aug-14,2014,USA,South Carolina,N,Boogie boarding,5694
2014.08.05,05-Aug-14,2014,USA,Florida,N,Swimming,5693
2014.08.02,02-Aug-14,2014,USA,Florida,N,Surfing,5692
2014.08.02,02-Aug-14,2014,USA,Florida,N,Boogie boarding,5691
2014.08.01,01-Aug-14,2014,SOUTH AFRICA,Western Cape Province,N,Surfing,5690
2014.08.00,Aug-14,2014,,,Y,Sea disaster,5689
2014.07.27,27-Jul-14,2014,USA,North Carolina,N,Swimming,5688
2014.07.22,22-Jul-14,2014,REUNION,Saint-Leu,N,Surfing,5687
2014.07.21,21-Jul-14,2014,USA,Florida,N,Standing,5686
2014.07.20,20-Jul-14,2014,SPAIN,Canary Islands,N,Wading,5685
2014.07.16,16-Jul-14,2014,USA,Hawaii,N,Swimming,5684
2014.07.14,14-Jul-14,2014,USA,Florida,N,Swimming,5683
2014.07.13,13-Jul-14,2014,BAHAMAS,West End,Y,Shark diving,5682
2014.07.12,12-Jul-14,2014,USA,North Carolina,N,Body surfing,5681
2014.07.09,09-Jul-14,2014,USA,Florida,N,Surfing,5680
2014.07.05.b,05-Jul-14,2014,USA,California,N,Swimming,5679
2014.07.05.a,05-Jul-14,2014,USA,California,N,Surfing,5678
2014.07.03,03-Jul-14,2014,USA,South Carolina,N,Body surfing,5677
2014.06.27.R,Reported 27-Jun-2014,2014,ST. MARTIN,,N,Transatlantic Rowing,5676
2014.06.25,25-Jun-14,2014,BAHAMAS,Abaco Islands,N,Spearfishing,5675
2014.06.18.b,18-Jun-14,2014,AUSTRALIA,South Australia,N,Surfing,5674
2014.06.18.a,18-Jun-14,2014,AUSTRALIA,South Australia,N,Body boarding,5673
2014.06.17.R,Reported 17-Jun-2014,2014,AUSTRALIA,Western Australia,N,Petting a shark,5672
2014.06.09.c,09-Jun-14,2014,BRAZIL,,N,Fishing,5671
2014.06.09.b,09-Jun-14,2014,USA,Delaware,N,Standing,5670
2014.06.09.a,09-Jun-14,2014,AUSTRALIA,South Australia,N,Body boarding,5669
2014.06.08,08-Jun-14,2014,JAPAN,Atsumi peninsula,N,Surfing,5668
2014.06.07,07-Jun-14,2014,USA,Texas,N,Kneeling in the water,5667
2014.06.01.c,01-Jun-14,2014,USA,Florida,N,Swimming,5666
2014.06.01.b,01-Jun-14,2014,AUSTRALIA,New South Wales,N,Surfing,5665
2014.06.01.a,01-Jun-14,2014,USA,Palmyra Atoll,N,Tagging sharks,5664
2014.05.27.R,24-May-14,2014,AUSTRALIA,Queensland,N,Fell into the water,5663
2014.05.23,23-May-14,2014,FRANCE,Wallis and Futuna,N,Scuba diving,5662
2014.05.22,22-May-14,2014,AUSTRALIA,New South Wales,N,Teasing a shark,5661
2015.11.20,20-Nov-15,2015,ECUADOR,Galapagos Islands,N,Snorkeling,5661
2014.05.15,15-May-14,2014,USA,Florida,N,Body boarding,5660
2014.05.14,14-May-14,2014,AUSTRALIA,South Australia,N,Surfing,5659
2014.05.13,13-May-14,2014,USA,Florida,N,Wading,5658
2014.05.11,11-May-14,2014,USA,Georgia,N,Surfing,5657
2014.05.10.R,Reported 10-May-2014,2014,USA,Florida,N,Diving,5656
2014.05.06,06-May-14,2014,USA,South Carolina,N,Swimming,5655
2014.05.01,01-May-14,2014,USA,Florida,N,Surfing,5654
2014.04.24,24-Apr-14,2014,AUSTRALIA,Western Australia,N,Spearfishing,5653
