,Case Number,Date,Year,Type,Country,Area,Location,Activity,Injury,Fatal (Y/N),Time,pdf,href,original order
1147,2007.06.17,17-Jun-07,2007,Invalid,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,Superficial injuries to upper leg may have been caused by surfboard fin,N,16h30,2007.06.17-CaseySchmidt.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.17-CaseySchmidt.pdf,4846
1148,2007.06.12,12-Jun-07,2007,Unprovoked,USA,Florida,"Turtle Beach, Siesta Key, Sarasota County",Swimming,Right foot bitten,N,11h00,2007.06.12-Schaefer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.12-Schaefer.pdf,4845
1149,2007.06.05,05-Jun-07,2007,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Crescent Head",Surfing,Lacerations to leg & ankle,N,Sunset,2007.06.05-JackMoir.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.05-JackMoir.pdf,4844
1150,2007.05.26,26-May-07,2007,Unprovoked,USA,South Carolina,Garden City,Wading,Lacerations to lower leg,N,17h00,2007.05.26-Dornquast.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.26-Dornquast.pdf,4843
1151,2007.05.24,24-May-07,2007,Provoked,USA,Virginia,"Virginia Aquarium & Marine Science Center, Virginia Beach ",Reviving a sedated shark,Left shin bitten by captive shark PROVOKED INCIDENT,N,Morning,2007.05.24-Firchau.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.24-Firchau.pdf,4842
1152,2007.05.17.R,Reported 17-May-2007,2007,Provoked,ENGLAND,Kent,Folkestone,Fishing,Bitten on the nose by a hooked shark PROVOKED INCIDENT,N,Afternoon,2007.05.17.R-PhilTanner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.17.R-PhilTanner.pdf,4841
1153,2007.05.16,16-May-07,2007,Unprovoked,AUSTRALIA,Western Australia,"Warra Beach, Coral Bay",Wading,Left heel & calf bitten,N,14h30,2007.05.16-BeckyCooke.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.16-BeckyCooke.pdf,4840
1154,2007.05.12,12-May-07,2007,Unprovoked,AUSTRALIA,Victoria,Warrnambool,Surfing,"No injury, shark's fin caught his leg",N,17h45,2007.05.12-BlakeFrench.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.12-BlakeFrench.pdf,4839
1155,2007.05.10,10-May-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Knee bitten,N,16h00,2007.05.10-Manis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.10-Manis.pdf,4838
1156,2007.05.09.R,Reported 09-May-2007,2007,Unprovoked,SEYCHELLES,Bird Island,,Snorkeling,No injury,N,Unknown,2007.05.09.R-Seychelles.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.09.R-Seychelles.pdf,4837
1157,2007.05.08,08-May-07,2007,Invalid,AUSTRALIA,New South Wales,Kingscliff Beach,Swimming,Shark involvement prior to death unconfirmed,Y,12h15,2007.05.08-KingscliffBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.08-KingscliffBeach.pdf,4836
1158,2007.05.07.b,07-May-07,2007,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Snorkeling,Right foot bitten,N,08h30,2007.05.07.b-PellerMarion.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.07.b-PellerMarion.pdf,4835
1159,2007.05.07.a,07-May-07,2007,Unprovoked,USA,Florida,Naples,Swimming,Circular bite on left thigh,N,08h30,2007.05.07.a-HansPruss.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.07.a-HansPruss.pdf,4834
1160,2007.05.04,04-May-07,2007,Sea Disaster,TURKS & CAICOS,Providenciales,,Sea Disaster,Some of the bodies recovered had been bitten by sharks,Y,  ,2007.05.04-HaitianRefugees.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.04-HaitianRefugees.pdf,4833
1161,2007.05.00,May-07,2007,Provoked,BAHAMAS,Bimini Islands,,Shark tagging,Lacerations to right upper arm by captive shark PROVOKED INCIDENT,N,Unknown,2007.05.00-Garcia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.00-Garcia.pdf,4832
1162,2007.04.26,26-Apr-07,2007,Unprovoked,AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,Lower leg & foot injured,N,18h00,2007.04.26-Lorraine.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.26-Lorraine.pdf,4831
1163,2007.04.22,22-Apr-07,2007,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,Left foot bitten,N,12h30,2007.04.22-Honyak.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.22-Honyak.pdf,4830
1164,2007.04.20,20-Apr-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Lacerations to left index finger & thumb ,N,17h00,2007.04.20-ChadGuthrie.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.20-ChadGuthrie.pdf,4829
1165,2007.04.13.R,Reported      13-Apr-2007,2007,Boat,USA,Florida,"Florida Keys, Monroe County",Fishing,"No injury to occupants, shark holed the transom-mounted livewell ",N,Unknown,2007.04.13.R-GonFishin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.13.R-GonFishin.pdf,4828
1166,2007.04.09,09-Apr-07,2007,Unprovoked,NEW CALEDONIA,South Province,Dumbéa,Surfing,Left foot bitten,N,16h00,2007.04.09-Bertholom.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.09-Bertholom.pdf,4827
1167,2007.04.01,01-Apr-07,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Playing on a sandbar,Lacerations & puncture wounds to right calf,N,13h05,2007.04.01-Lomedico.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.01-Lomedico.pdf,4826
1168,2007.03.31.b,31-Mar-07,2007,Unprovoked,USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,Lacerations to right ankle ,N,14h20,2007.03.31.b-Olson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.31.b-Olson.pdf,4825
1169,2007.03.31.a,31-Mar-07,2007,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St. Lucie County",Unknown,Minor cuts to right buttock & thigh,N,13h20,2007.03.31.a-Waveland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.31.a-Waveland.pdf,4824
1170,2007.03.22,22-Mar-07,2007,Unprovoked,YEMEN,Muhafazat Hadramawt,Ras-Alkalb,Murder,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,Morning,2007.03.22-EthiopianRefugees.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.22-EthiopianRefugees.pdf,4823
1171,2007.03.21,21-Mar-07,2007,Unprovoked,USA,Florida,Jupiter Inlet,Surfing,Punctures & lacerations to right calf & calf,N,Evening,2007.03.21-Chief.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.21-Chief.pdf,4822
1172,2007.03.20,20-Mar-07,2007,Unprovoked,AUSTRALIA,New South Wales,South Golden Beach,Surfing,Lacerations to 3 fingers of left hand ,N,10h00,2007.03.20-JodieCooper.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.20-JodieCooper.pdf,4821
1173,2007.03.14.R,Reported 14-Mar-2007,2007,Provoked,USA,Florida,Delray Beach,Shark fishing,Right hand bitten by hooked shark PROVOKED INCIDENT,N,Unknown,2007.03.14.R-Kuehlewind.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.03.14.R-Kuehlewind.pdf,4820
