,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
748,2010.11.12.R,Reported 12-Nov-2010,2010,Boat,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,Fishing,N,Night,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.12.R-Gade.pdf,5245
749,2010.10.30,30-Oct-10,2010,Unprovoked,AUSTRALIA,Western Australia,Off Garden Island,Snorkeling,N,12h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.30-Francom.pdf,5244
750,2010.10.28.R,Reported 28-Oct-2010,2010,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.28.R-Plant.pdf,5243
751,2010.10.28,28-Oct-10,2010,Unprovoked,USA,Oregon,Florence,Surfing,N,15h20,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.28.a-SethMead.pdf,5242
752,2010.10.25,25-Oct-10,2010,Provoked,AZORES,,350 miles from Faial Island,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.25-Gedi-crewman.pdf,5241
753,2010.10.23.b,23-Oct-10,2010,Unprovoked,USA,Maine,"Burnt Cove near Eastport, Washington County",Scuba diving,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.23-MacNichol.pdf,5240
754,2010.10.23.a,23-Oct-10,2010,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,Kite Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.23.a-Walker.pdf,5239
755,2010.10.22,22-Oct-10,2010,Unprovoked,USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",Body boarding,Y,08h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.22-Ransom.pdf,5238
756,2010.10.20,20-Oct-10,2010,Unprovoked,EGYPT,South Sinai Peninsula,Sharm el-Sheikh ,Snorkeling,N,A.M.,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.20-Rubanovich.pdf,5237
757,2010.10.09,09-Oct-10,2010,Unprovoked,AUSTRALIA,New South Wales,Mullaway Headland,Surfing,N,13h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.09-Turk.pdf,5236
758,2010.10.02.b,02-Oct-10,2010,Unprovoked,BAHAMAS,Exuma Islands,,Snorkeling,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.02.b-Molla.pdf,5235
759,2010.10.02.a,02-Oct-10,2010,Unprovoked,BAHAMAS,Abaco Islands,Elbow Cay,Surfing,N,15h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.02.a-Engle.pdf,5234
