,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),Time,href formula,original order
830,2010.01.09.c,09-Jan-10,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.01.09.c-woman.pdf,5163
831,2010.01.09.b,09-Jan-10,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Unknown,N,17h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.01.09.b-Hanh.pdf,5162
832,2010.01.09.a,09-Jan-10,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Bathing,N,06h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.01.09.a-Tuan.pdf,5161
833,2010.01.06,06-Jan-10,2010,Unprovoked,USA,Florida,Elliot Key,Spearfishing,N,10h15,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.01.06-Chirino.pdf,5160
834,2010.01.05,05-Jan-10,2010,Unprovoked,SOUTH AFRICA,Eastern Province,"Nahoon, East London",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.01.05-Nahoon-surfer.pdf,5159
835,2009.12.29,29-Dec-09,2009,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Port Alfred,Wading,N,08h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.12.29-Bruce.pdf,5158
836,2009.12.26,26-Dec-09,2009,Provoked,AUSTRALIA,New South Wales,Avoca Beach,Swimming,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.12.26-Sojoski.pdf,5157
837,2009.12.22,22-Dec-09,2009,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,Swimming,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.12.22-Fraser.pdf,5156
838,2009.12.20.b,20-Dec-09,2009,Boat,AUSTRALIA,Queensland,Mudjimba Island,Kayaking,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.12.20.b-Queensland-Kayak.pdf,5155
839,2009.12.20.a,20-Dec-09,2009,Unprovoked,AUSTRALIA,Queensland,Lamont Reef,Spearfishing,N,07h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.12.20.a-Pengelly.pdf,5154
840,2009.12.18,18-Dec-09,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Paddling on kneeboard,Y,14h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.12.18.a-Nduva.pdf,5153
841,2009.12.18,18-Dec-09,2009,Invalid,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Surfing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.12.18.b-Morris-barracuda bite.pdf,5152
842,2009.12.16,16-Dec-09,2009,Unprovoked,NEW ZEALAND,South Island,Clark Island,Swimming to shore from capsized kayak,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.12.16-Philips.pdf,5151
843,2009.12.13,13-Dec-09,2009,Unprovoked,AUSTRALIA,New South Wales,Coffee Head,Surfing,N,07h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.12.13-Hughes.pdf,5150
844,2009.12.12,12-Dec-09,2009,Boat,AUSTRALIA,New South Wales,Hawks Nest Beach,Rowing,N,07h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.12.12-Ross-boat.pdf,5149
845,2009.12.06,05-Dec-09,2009,Provoked,USA,New Jersey,"Adventure Aquarium, Camden",Diving,N,13h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.12.06-Large.pdf,5148
846,2009.11.25,25-Nov-09,2009,Invalid,USA,California,"Huntington Beach, Orange County",Surfing,N,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.11.25-Hall.pdf,5147
847,2009.11.24,24-Nov-09,2009,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Wading,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.11.24-Gollighugh.pdf,5146
848,2009.11.16.b,16-Nov-09,2009,Unprovoked,USA,California,"Loch Lomond, Marin County",Fishing,N,16h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.11.16.b-White.pdf,5145
849,2009.11.16.a,16-Nov-09,2009,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,N,09h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.11.16.a-Burdelski.pdf,5144
850,2009.11.13,13-Nov-09,2009,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.11.13-Hardcastle.pdf,5143
851,2009.11.11,11-Nov-09,2009,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.11.11-NewSmyrnaBeach.pdf,5142
852,2009.11.08,08-Nov-09,2009,Unprovoked,AUSTRALIA,South Australia,Second Valley,Kayaking,N,10h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.11.08-Brougham.pdf,5141
853,2009.11.05,05-Nov-09,2009,Unprovoked,USA,California,"Davenport, Santa Cruz County",Surfing,N,Dusk,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.11.05-Geiselman.pdf,5140
854,2009.10.30,30-Oct-09,2009,Unprovoked,AUSTRALIA,Victoria,Portland,Kayaking,N,Morning,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.10.30-Gadsden.pdf,5139
855,2009.10.29.R,Reported 29-Oct-2009,2009,Unprovoked,MOZAMBIQUE,Inhambane Province,Off Vilanculo,Spearfishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.10.29.R-Rogotzki.pdf,5138
856,2009.10.28,28-Oct-09,2009,Unprovoked,AUSTRALIA,New South Wales,Lennox Heads,Paddle-boarding,N,07h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.10.28-Lowe.pdf,5137
857,2009.10.24,24-Oct-09,2009,Unprovoked,USA,California,"San Onofre, San Diego County ",Surfing,N,17h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.10.24-Scott-Barton.pdf,5136
858,2009.10.19,19-Oct-09,2009,Unprovoked,USA,Hawaii,"Kalama Park, Maui",Surfing,N,06h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.10.19-Henrich.pdf,5135
859,2009.10.18,18-Oct-09,2009,Unprovoked,PANAMA,Bocas,Playa La Cabaña ,Wading,N,18h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.10.18-Panama.pdf,5134
860,2009.10.17,17-Oct-09,2009,Provoked,SCOTLAND,Fife,Deep Sea World Aquarium,Diving,N,14h45,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.10.17-DeepSeaWorld.pdf,5133
861,2009.10.14.R,Reported 14-Oct-2009,2009,Unprovoked,AUSTRALIA,Western Australia,,Diving,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.10.14.R-Bowen.pdf,5132
862,2009.10.09,09-Oct-09,2009,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,N,11h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.10.09-Wagor.pdf,5131
863,2009.10.02,02-Oct-09,2009,Provoked,UNITED KINGDOM,Devon,Mewstone Rock,Fishing,N,12h50,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.10.02-UK.pdf,5130
864,2009.09.26,26-Sep-09,2009,Unprovoked,USA,Florida,"Key Colony Beach, Monroe County",Swimming,N,17h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.09.26-Callahan.pdf,5129
865,2009.09.18,18-Sep-09,2009,Unprovoked,VIETNAM,,,Unknown,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.09.18-Vinh.pdf,5128
866,2009.09.15,15-Sep-09,2009,Provoked,SOMALIA,,300 miles off the coast ,Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.09.15-SpanishSailor.pdf,5127
867,2009.09.13,13-Sep-09,2009,Provoked,BRAZIL,Pernambuco,"Piedade, Recife",Unknown,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.09.13-Monteiro.pdf,5126
868,2009.09.12,12-Sep-09,2009,Invalid,USA,North Carolina,"Corolla, Currituck County",Swimming,Y,21h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.09.12-Snead.pdf,5125
869,2009.09.07,07-Sep-09,2009,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife","Swimming, attempting to rescue a girl  believed to be drowning",Y,Afternoon,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.09.07-Barbosa.pdf,5124
870,2009.09.02,02-Sep-09,2009,Invalid,NEVIS,,Castle Beach,Swimming,Y,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.09.02-Mills.pdf,5123
871,2009.09.01,01-Sep-09,2009,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,"Kirakira, Makira Island (formerly San Cristobal)",Fishing,N,Unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.09.01-Kirakira.pdf,5122
872,2009.08.30,30-Aug-09,2009,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,N,18h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.08.30-Hedgepeth.pdf,5121
873,2009.08.29,29-Aug-09,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Glentana,Surfing,Y,15h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.08.29-VanZyl.pdf,5120
874,2009.08.25,25-Aug-09,2009,Unprovoked,USA,California,"Terramar Beach, Carlsbad, San Diego County",Swimming,N,16h30,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.08.25-Edmund.pdf,5119
875,2009.08.11,11-Aug-09,2009,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Alkantstrand ,Body boarding,N,Lunchtime,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.08.11-Nagel.pdf,5118
876,2009.08.10,10-Aug-09,2009,Unprovoked,USA,Florida,"Ponce, Volusia County",Swimming,N,19h00,http://sharkattackfile.net/spreadsheets/pdf_directory/2009.08.10-Volusia.pdf,5117
