Year,Type,Country,Area,Location,Activity,Sex,Fatal
2015,Unprovoked,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,N
2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,M,N
2015,Unprovoked,USA,Florida,"Windsor Beach, Indian River County",Unknown,M,N
2014,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach,Surfing,Unknown,N
2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Fishing,M,Y
2014,Sea Disaster,GREECE,Unknown,33 nautical miles off Othonoi Island,Unknown,Unknown,N
2014,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,Swimming,Unknown,N
2014,Unprovoked,USA,California,"Montaña de Oro State Park, San Luis Obispo County ",Surfing,M,N
2014,Provoked,AUSTRALIA,Victoria,Paradise Beach,Fishing,M,N
2014,Unprovoked,JAPAN,Unknown,Unknown,Diving,M,N
2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Fishing,M,Y
2014,Provoked,SPAIN,Granada,Off Motril,Fishing,M,N
2014,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,N
2014,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),Unknown,Fishing,M,Y
2014,Boat,AUSTRALIA,Western Australia,Freo,Fishing,M,N
2014,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,N
2014,Boat,USA,California,"Franklin Point, San Mateo County",Unknown,Unknown,N
2014,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,N
2014,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach,Surfing,M,N
2014,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,N
2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,N
2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,N
2014,Unprovoked,USA,Hawaii,"Kihei, Maui",Boarding,F,N
2014,Unprovoked,USA,Hawaii,"Kahului, Maui",Boarding,M,N
2014,Boat,USA,California,"Leadbetter Beach, Santa Barbara County",Canoeing,F,N
2014,Unprovoked,USA,Hawaii,"Maalaea, South Maui",Surfing,M,N
2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,N
2014,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Bathing,F,N
2014,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,F,N
2014,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",Fishing,F,N
2014,Boat,AUSTRALIA,Western Australia,"Castle Rock, north of Dunsborough",Canoeing,M,N
2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2014,Boat,USA,California,Santa Barbara County,Canoeing,M,N
2014,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,N
2014,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,N
2014,Unprovoked,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Other,F,N
2014,Invalid,USA,California,"Manresa State Beach, Santa Cruz County",Surfing,M,N
2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,Y
2014,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing,M,N
2014,Unprovoked,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Canoeing,F,N
2014,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,N
2014,Unprovoked,SPAIN,Catalonia,Salou,Other,M,N
2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,N
2014,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,N
2014,Invalid,USA,Florida,"Atlantic Beach, Duval County",Unknown,Unknown,N
2014,Provoked,USA,Maryland,Assateague National Seashore,Fishing,M,N
2014,Unprovoked,SPAIN,Alicante,Benidorm,Swimming,F,N
2014,Unprovoked,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,N
2014,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County",Bathing,F,N
2014,Provoked,USA,Florida,Apalachicola Bay ,Fishing,M,N
2014,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Boarding,Unknown,N
2014,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Fishing,M,N
2014,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Bathing,M,N
2014,Unprovoked,USA,Florida,"Hallandale Beach, Broward County",Unknown,M,N
2014,Unprovoked,BAHAMAS,Unknown,Unknown,Fishing,M,N
2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,N
2014,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,N
2014,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boarding,M,N
2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,N
2014,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,N
2014,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boarding,M,N
2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,N
2014,Invalid,Unknown,Unknown,Unknown,Other,M,Y
2014,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County",Swimming,M,N
2014,Unprovoked,REUNION,Saint-Leu,Unknown,Surfing,M,N
2014,Unprovoked,USA,Florida,"Indialantic, Brevard County",Bathing,M,N
2014,Unprovoked,SPAIN,Canary Islands,"Teresita, Santa Cruz, Tenerife",Bathing,Unknown,N
2014,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,M,N
2014,Unprovoked,USA,Florida,Okaloosa Island,Swimming,M,N
2014,Invalid,BAHAMAS,West End,Tiger Beach,Diving,M,Y
2014,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Surfing,M,N
2014,Provoked,USA,California,"Manhattan Beach, Los Angeles County",Swimming,M,N
2014,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,N
2014,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Surfing,M,N
2014,Boat,ST. MARTIN,Unknown,20 miles from shore,Canoeing,M,N
2014,Unprovoked,BAHAMAS,Abaco Islands,Unknown,Fishing,M,N
2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,N
2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Boarding,M,N
2014,Provoked,AUSTRALIA,Western Australia,Horizontal Falls,Other,M,N
2014,Unprovoked,BRAZIL,Unknown,500 km off the coast of Pernambuco,Fishing,M,N
2014,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Bathing,M,N
2014,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula",Boarding,M,N
2014,Unprovoked,JAPAN,Atsumi peninsula,Aichi,Surfing,M,N
2014,Unprovoked,USA,Texas,"West Beach, Galveston",Other,F,N
