,Year,Type,Country,Activity,Sex,Age,Injury,Fatal (Y/N),Time
326,2014,Unprovoked,USA,Swimming,F,22,Laceration to right lower leg,N,13h30
328,2014,Unprovoked,USA,Tagging sharks,F,37,Laceration to left hand,N,
329,2014,Unprovoked,AUSTRALIA,Fell into the water,F,29,Lacerations to legs,N,
333,2014,Unprovoked,USA,Body boarding,F,38,Calf bitten,N,11h30
335,2014,Unprovoked,USA,Wading,F,44,Lacerations and puncture wounds to right foot,N,11h00
338,2014,Unprovoked,USA,Swimming,F,40,Lacerations to left foot,N,15h00
347,2014,Unprovoked,AUSTRALIA,Swimming,F,63,FATAL,Y,08h20
375,2013,Unprovoked,USA,Snorkeling,F,58,Right calf bitten,N,13h00
383,2013,Unprovoked,AUSTRALIA,Snorkeling,F,60,Lacerations to right arm,N,Afternoon
400,2013,Unprovoked,USA,Surfing,F,13,Heel bitten,N,13h00
401,2013,Unprovoked,USA,,F,27,No details,UNKNOWN,
412,2013,Unprovoked,USA,Boogie boarding,F,11,Minor injury to left lower leg & heel,N,17h00
415,2013,Unprovoked,USA,Surfing,F,27,"No injury, shark bumped surfboard",N,12h40
416,2013,Unprovoked,USA,Snorkeling,F,20,FATAL,Y,16h30
417,2013,Unprovoked,USA,Kiteboarding,F,19,No injury & not on board. Board adrift when bitten by shark,N,13h55
421,2013,Unprovoked,USA,Snorkeling,F,56,"Lacerations to hand, face and torso",N,08h45
424,2013,Unprovoked,MEXICO,Wading,F,27,Hip bitten,N,11h00
428,2013,Unprovoked,BRAZIL,Swimming,F,18,FATAL,Y,13h20
429,2013,Unprovoked,USA,Walking in surf,F,50,Lacerations and abrasions to foot and ankle,N,14h30
431,2013,Unprovoked,REUNION,Swimming & snorkeling,F,15,FATAL,Y,14h15
433,2013,Unprovoked,USA,Wading,F,63,Right foot bitten,N,15h20
444,2013,Unprovoked,USA,Surfing,F,27,Lacerations to left ankle,N,
445,2013,Unprovoked,USA,Boogie Boarding,F,10,Puncture marks to hand,N,Afternoon
