,Year,Ocean_Sea
1281,2006,NORTH_PACIFIC
1285,2006,NORTH_PACIFIC
1287,2006,NORTH_ATLANTIC
1289,2006,NORTH_ATLANTIC
1291,2005,NORTH_PACIFIC
1292,2005,NORTH_PACIFIC
1296,2005,NORTH_ATLANTIC
1297,2005,NORTH_ATLANTIC
1302,2005,NORTH_ATLANTIC
1303,2005,NORTH_ATLANTIC
1306,2005,NORTH_ATLANTIC
1307,2005,NORTH_PACIFIC
1308,2005,NORTH_PACIFIC
1309,2005,NORTH_ATLANTIC
1312,2005,NORTH_PACIFIC
1313,2005,NORTH_PACIFIC
1314,2005,NORTH_ATLANTIC
1315,2005,NORTH_PACIFIC
1317,2005,NORTH_ATLANTIC
1318,2005,NORTH_ATLANTIC
1323,2005,NORTH_ATLANTIC
1324,2005,NORTH_ATLANTIC
1325,2005,NORTH_ATLANTIC
1327,2005,NORTH_ATLANTIC
1329,2005,NORTH_ATLANTIC
1332,2005,NORTH_PACIFIC
1333,2005,NORTH_ATLANTIC
1334,2005,NORTH_ATLANTIC
1335,2005,GULF_OF_MEXICO
1337,2005,NORTH_ATLANTIC
1338,2005,NORTH_ATLANTIC
1340,2005,NORTH_ATLANTIC
1341,2005,NORTH_ATLANTIC
1342,2005,NORTH_ATLANTIC
1346,2005,NORTH_ATLANTIC
1347,2005,GULF_OF_MEXICO
1348,2005,NORTH_ATLANTIC
1349,2005,NORTH_ATLANTIC
1350,2005,NORTH_ATLANTIC
1352,2005,NORTH_PACIFIC
1353,2005,NORTH_PACIFIC
1354,2005,NORTH_ATLANTIC
1356,2005,NORTH_ATLANTIC
1357,2005,NORTH_ATLANTIC
