,name,last_raised_amount_MnUSD,total_raised_MnUSD,round_average_MnUSD,rounds
443,Ifbyphone,4.0,21.1,4.2,5.0
451,Elance,6.8,94.8,19.0,5.0
458,Kareo,1.4,51.4,7.3,7.0
459,VZnet Netzwerke,0.0,0.0,0.0,
460,Origin Digital,0.0,0.0,0.0,
462,Footnote,2.0,10.0,5.0,2.0
463,PacketFront,23.1,23.1,23.1,1.0
464,ShoutWire,0.5,0.5,0.5,1.0
465,Taltopia,0.8,0.8,0.8,1.0
466,ScanDigital,0.4,0.4,0.4,1.0
467,Tripology,1.2,1.2,1.2,1.0
468,Clickpass,0.0,0.0,0.0,
469,DailyStrength,5.0,5.0,5.0,1.0
472,Next New Networks,3.1,26.1,8.7,3.0
476,Invoke Solutions,1.8,5.6,2.8,2.0
481,Zuora,50.0,127.5,25.5,5.0
489,ShareThis,30.0,81.0,16.2,5.0
490,Krillion,9.2,9.2,9.2,1.0
493,Infopia,8.0,20.0,10.0,2.0
495,Replay Solutions,11.0,15.2,7.6,2.0
499,InMage Systems,3.4,35.9,9.0,4.0
500,Omnisio,0.0,0.0,0.0,
502,CitySquares,0.3,0.3,0.2,1.0
504,Joberator,0.0,0.0,0.0,
506,Interneer,1.2,3.2,1.6,2.0
507,MyTrade,0.0,0.0,0.0,
508,ScanCafe,4.0,4.0,4.0,1.0
510,Glaxstar,1.0,4.0,2.0,2.0
512,Cvent,0.9,136.9,68.4,2.0
515,MyMiniLife,0.0,0.4,0.1,4.0
517,BroadSoft,32.5,42.5,21.2,2.0
521,Zend Technologies,7.0,44.0,11.0,4.0
523,Mytopia,3.2,3.5,1.8,2.0
525,SlideShare,2.7,3.0,1.5,2.0
528,Parature,0.7,30.2,10.1,3.0
529,Intent,0.2,0.2,0.2,1.0
530,MindBites,1.0,1.0,1.0,1.0
535,Zemanta,2.0,7.4,1.5,5.0
540,Glassdoor,50.0,91.5,18.3,5.0
543,Realtime Worlds,50.0,82.8,27.6,3.0
546,Berkeley Design Automation,11.2,20.2,6.7,3.0
547,Datacraft Solutions,4.0,4.0,4.0,1.0
553,Marketo,50.0,108.4,18.1,6.0
554,Noovo,0.3,0.3,0.3,1.0
556,AudioMicro,0.5,1.3,0.6,2.0
558,Cellufun,3.0,3.7,1.8,2.0
560,School of Everything,0.3,0.3,0.3,1.0
561,CarDomain Network,3.0,3.0,3.0,1.0
562,dotSyntax,0.5,0.5,0.5,1.0
564,Austhink Software,3.8,3.8,3.8,1.0
567,GuardianEdge Technologies,6.0,16.0,8.0,2.0
568,Odeo,0.0,0.0,0.0,
570,Cellfish,50.0,60.0,30.0,2.0
571,Misohoni,0.0,0.0,0.0,
572,iRise,20.0,20.0,20.0,1.0
573,Boxbe,1.5,1.5,1.5,1.0
577,Univa UD,15.0,33.0,8.2,4.0
580,Moviestorm,3.0,4.0,1.3,3.0
581,Logicalware,0.2,0.2,0.2,1.0
583,GitHub,100.0,100.0,100.0,1.0
584,alaTest,0.0,0.0,0.0,
585,Mercury Intermedia,0.0,0.0,0.0,
588,Memeo,3.0,11.1,3.7,3.0
589,Mad Mimi,0.1,0.1,0.1,1.0
590,Mirror42,1.2,1.2,1.2,1.0
593,TeachStreet,1.2,3.4,1.1,3.0
595,FlipKey,0.0,0.5,0.2,2.0
596,Nexopia,0.0,0.0,0.0,
597,Modern Feed,3.0,3.0,3.0,1.0
598,Whatever,0.4,0.4,0.4,1.0
599,Serious Business,4.0,4.0,4.0,1.0
600,RateItAll,1.4,1.4,1.4,1.0
602,KnowledgeTree,2.2,7.0,3.5,2.0
605,TraceWorks,0.0,3.8,1.3,3.0
607,BioWizard,0.7,1.1,0.6,2.0
610,Turbine,6.6,76.6,25.5,3.0
616,New Relic,60.0,174.5,29.1,6.0
618,Velocify,15.0,20.2,10.1,2.0
620,Yoono,2.2,5.4,2.7,2.0
621,Citizen Sports,10.0,10.0,10.0,1.0
624,Jinni,5.0,8.1,2.7,3.0
625,FantasyBook,0.0,0.0,0.0,
626,sevenload,22.3,22.3,22.3,1.0
627,zweitgeist,0.4,0.4,0.4,1.0
628,Boardwalktech,0.5,0.5,0.5,1.0
630,allyve,0.0,0.0,0.0,
631,WebVet,0.0,0.0,0.0,
632,Fuzz,0.0,0.0,0.0,
633,rVita,1.0,1.0,1.0,1.0
634,MeFeedia,0.2,0.2,0.2,1.0
635,Dezide,0.4,0.4,0.4,1.0
636,Cognition Technologies,2.7,2.7,2.7,1.0
638,TerraPass,5.8,5.8,5.8,1.0
641,Sometrics,4.0,5.6,1.9,3.0
643,deviantART,10.0,13.5,6.8,2.0
644,Olark,0.0,0.0,0.0,
647,Fliqz,6.0,12.2,4.1,3.0
648,Infectious,0.8,0.8,0.8,1.0
649,Identyx,0.0,0.0,0.0,
650,Socruise,0.2,0.2,0.2,1.0
651,Aruspex,3.8,3.8,3.8,1.0
652,GreenNote,4.2,4.2,4.2,1.0
655,Pinch Media,0.0,0.6,0.2,3.0
657,VMware,218.5,368.5,184.2,2.0
658,Hive7,0.0,0.0,0.0,
660,Medallia,20.0,55.0,27.5,2.0
661,Crowd Science,2.0,2.0,2.0,1.0
662,SurveyGizmo,0.0,0.0,0.0,
663,Cosential,0.2,0.2,0.2,1.0
665,BrandYourself,1.2,1.5,0.8,2.0
