,name,founded_year,category_code,number_of_employees,rounds,total_raised_MnUSD,round_average_MnUSD,"type: 1: startup, 2: small/mid corp, 3:big corp",latitude,longitude,geojson,near_companies,employees,ratio,investments,ratio_distance
88,GoLark,2007,web,3,,0.0,0.0,2,40.7508,-73.996122,"{'type': 'Point', 'coordinates': [-73.996122, 40.7508]}",43,6974,1.8837209302325582,16.0,0.11627906976744184
89,Inform Technologies,2004,web,26,3.0,29.0,9.7,2,40.744639,-73.983963,"{'type': 'Point', 'coordinates': [-73.983963, 40.744639]}",41,6897,1.8780487804878048,16.0,0.12195121951219523
90,MeetMoi,2007,social,15,3.0,5.6,1.9,2,40.757929,-73.985506,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",35,6435,1.8571428571428572,16.0,0.1428571428571428
91,Boxee,2004,software,45,3.0,26.5,8.8,2,40.745064,-73.992637,"{'type': 'Point', 'coordinates': [-73.992637, 40.745064]}",41,6897,1.8780487804878048,16.0,0.12195121951219523
92,My Damn Channel,2007,games_video,10,2.0,7.6,3.8,2,40.754762,-73.988543,"{'type': 'Point', 'coordinates': [-73.988543, 40.754762]}",35,6435,1.8571428571428572,16.0,0.1428571428571428
93,VISUALPLANT,2000,games_video,6,1.0,0.5,0.5,2,40.738476,-73.998726,"{'type': 'Point', 'coordinates': [-73.998726, 40.738476]}",43,7200,1.8837209302325582,16.0,0.11627906976744184
94,Hunch,2007,web,23,3.0,19.2,6.4,2,40.741179,-73.993182,"{'type': 'Point', 'coordinates': [-73.993182, 40.741179]}",43,7132,1.8837209302325582,16.0,0.11627906976744184
95,Fuzz,2011,games_video,6,,0.0,0.0,2,37.760524,-122.387799,"{'type': 'Point', 'coordinates': [-122.387799, 37.760524]}",21,1244,1.8571428571428572,15.3,0.1428571428571428
96,TheLadders,2003,web,110,1.0,7.2,7.2,2,40.725883,-74.006196,"{'type': 'Point', 'coordinates': [-74.006196, 40.725883]}",33,1519,1.9090909090909092,13.1,0.09090909090909083
97,Livestream,2007,games_video,120,3.0,12.7,4.2,2,40.726155,-73.995625,"{'type': 'Point', 'coordinates': [-73.995625, 40.726155]}",32,1454,1.90625,13.1,0.09375
98,Pando Networks,2004,games_video,23,2.0,11.0,5.5,2,40.722655,-73.99873,"{'type': 'Point', 'coordinates': [-73.99873, 40.722655]}",31,1436,1.903225806451613,13.1,0.09677419354838701
99,Meetup,2002,web,75,4.0,18.3,4.6,2,40.72604,-73.995722,"{'type': 'Point', 'coordinates': [-73.995722, 40.72604]}",32,1454,1.90625,13.1,0.09375
